run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR31997463	PRJNA1210544	SAMN46247830	SRX27350624	9606	Homo sapiens	e27573e33c0f244da3ebbde8c278061b;043fd34f4840e2130b351ef3e3959edc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/063/SRR31997463/SRR31997463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/063/SRR31997463/SRR31997463_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/063/SRR31997463/SRR31997463_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/063/SRR31997463/SRR31997463_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/063/SRR31997463/SRR31997463	
SRR31997465	PRJNA1210544	SAMN46247828	SRX27350622	9606	Homo sapiens	6b9df7cfa478aa069a54bdcb2989b125;8e6ba387d8a45f79b7d9b6e980b393ef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/065/SRR31997465/SRR31997465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/065/SRR31997465/SRR31997465_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/065/SRR31997465/SRR31997465_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/065/SRR31997465/SRR31997465_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/065/SRR31997465/SRR31997465	
SRR31997466	PRJNA1210544	SAMN46247827	SRX27350621	9606	Homo sapiens	91512fcb17edf53d177683a8b1b3c479;35e29bb33144fa2a015e2bed26339d6b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/066/SRR31997466/SRR31997466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/066/SRR31997466/SRR31997466_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/066/SRR31997466/SRR31997466_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/066/SRR31997466/SRR31997466_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/066/SRR31997466/SRR31997466	
SRR31997467	PRJNA1210544	SAMN46247826	SRX27350620	9606	Homo sapiens	26e6705d30a3e1ceebb4a98ca30b2f0c;1c5c9a8bcaa6cf443bc4f4d9af08c051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/067/SRR31997467/SRR31997467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/067/SRR31997467/SRR31997467_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/067/SRR31997467/SRR31997467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/067/SRR31997467/SRR31997467_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/067/SRR31997467/SRR31997467	
SRR31997468	PRJNA1210544	SAMN46247825	SRX27350619	9606	Homo sapiens	2c9ff6eee0fb9a9388f8f2f633feea3d;cfb88963fc784d5d707432b57d4878d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/068/SRR31997468/SRR31997468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/068/SRR31997468/SRR31997468_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/068/SRR31997468/SRR31997468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/068/SRR31997468/SRR31997468_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/068/SRR31997468/SRR31997468	
SRR31997469	PRJNA1210544	SAMN46247824	SRX27350618	9606	Homo sapiens	a850ee9e56ed5c9144958c12fcaaa708;1ba107dcd41552ecad1fc162ca912e5c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/069/SRR31997469/SRR31997469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/069/SRR31997469/SRR31997469_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/069/SRR31997469/SRR31997469_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/069/SRR31997469/SRR31997469_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/069/SRR31997469/SRR31997469	
SRR31997471	PRJNA1210544	SAMN46247814	SRX27350616	9606	Homo sapiens	bcae35438194729447f0800ccf247143;edde1ff08c981829c58479eb1015ce44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/071/SRR31997471/SRR31997471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/071/SRR31997471/SRR31997471_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/071/SRR31997471/SRR31997471_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/071/SRR31997471/SRR31997471_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/071/SRR31997471/SRR31997471	
SRR31997443	PRJNA1210544	SAMN46247848	SRX27350644	9606	Homo sapiens	5cdd6341c5770d4900b35e7c2d297a2b;1d1a03f6c4e70219409f5ad2ba08c3ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/043/SRR31997443/SRR31997443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/043/SRR31997443/SRR31997443_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/043/SRR31997443/SRR31997443_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/043/SRR31997443/SRR31997443_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/043/SRR31997443/SRR31997443	
SRR31997444	PRJNA1210544	SAMN46247847	SRX27350643	9606	Homo sapiens	1cdfde2bda6813da8ec2de117a8c75fb;44ed2892cbdfcdfbfa4cdd12e69d7aaf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/044/SRR31997444/SRR31997444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/044/SRR31997444/SRR31997444_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/044/SRR31997444/SRR31997444_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/044/SRR31997444/SRR31997444_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/044/SRR31997444/SRR31997444	
SRR31997448	PRJNA1210544	SAMN46247817	SRX27350639	9606	Homo sapiens	6549df8fd78848f2700066840d7e6300;53b886db97f673e1d20eca8af0413f43	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/048/SRR31997448/SRR31997448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/048/SRR31997448/SRR31997448_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/048/SRR31997448/SRR31997448_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/048/SRR31997448/SRR31997448_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/048/SRR31997448/SRR31997448	
SRR31997450	PRJNA1210544	SAMN46247842	SRX27350637	9606	Homo sapiens	d3dde30df4e9bb48019db61be9b495f4;35a39f5620a9d084688e042b5c0e9b33	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/050/SRR31997450/SRR31997450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/050/SRR31997450/SRR31997450_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/050/SRR31997450/SRR31997450_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/050/SRR31997450/SRR31997450_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/050/SRR31997450/SRR31997450	
SRR31997451	PRJNA1210544	SAMN46247841	SRX27350636	9606	Homo sapiens	6a6cb3a45d321258a7c7884213554287;a30a0e6b045edba744ab47a686a72ddb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/051/SRR31997451/SRR31997451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/051/SRR31997451/SRR31997451_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/051/SRR31997451/SRR31997451_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/051/SRR31997451/SRR31997451_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/051/SRR31997451/SRR31997451	
SRR31997452	PRJNA1210544	SAMN46247840	SRX27350635	9606	Homo sapiens	f271c5c859774a749bd32e7e21a93046;45f5daa50b32aff60ed3d79e4378966c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/052/SRR31997452/SRR31997452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/052/SRR31997452/SRR31997452_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/052/SRR31997452/SRR31997452_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/052/SRR31997452/SRR31997452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/052/SRR31997452/SRR31997452	
SRR31997454	PRJNA1210544	SAMN46247838	SRX27350633	9606	Homo sapiens	da2575c87b170d09a53c1e064c93ab8d;2af53298b1ea82d50c8453abf2511dd6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/054/SRR31997454/SRR31997454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/054/SRR31997454/SRR31997454_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/054/SRR31997454/SRR31997454_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/054/SRR31997454/SRR31997454_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/054/SRR31997454/SRR31997454	
SRR31997455	PRJNA1210544	SAMN46247837	SRX27350632	9606	Homo sapiens	44a958a9339542cc0d6f82955c8fd478;59d97995536970583bb02377c545b3bc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/055/SRR31997455/SRR31997455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/055/SRR31997455/SRR31997455_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/055/SRR31997455/SRR31997455_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/055/SRR31997455/SRR31997455_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/055/SRR31997455/SRR31997455	
SRR31997461	PRJNA1210544	SAMN46247832	SRX27350626	9606	Homo sapiens	45a4bed2ab2ae1377fe9e1b2ff840463;b9d861403e11032589b26870330d8dee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/061/SRR31997461/SRR31997461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/061/SRR31997461/SRR31997461_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/061/SRR31997461/SRR31997461_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/061/SRR31997461/SRR31997461_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/061/SRR31997461/SRR31997461	
SRR31997464	PRJNA1210544	SAMN46247829	SRX27350623	9606	Homo sapiens	540f8b7105872b89a4591e3f312537b8;16b4172e59efc2857e97406d232ea622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/064/SRR31997464/SRR31997464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/064/SRR31997464/SRR31997464_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/064/SRR31997464/SRR31997464_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/064/SRR31997464/SRR31997464_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/064/SRR31997464/SRR31997464	
